Title,First Name,Date
A Fifth Of Beethoven,Walter,1976-10-02
Play That Funky Music,Wild,1976-09-25
"(Shake, Shake, Shake) Shake Your Booty",KC,1976-09-04
You Should Be Dancing,Bee,1976-08-28
Don't Go Breaking My Heart,Elton,1976-08-21
Kiss And Say Goodbye,The,1976-07-24
Afternoon Delight,Starland,1976-07-10
Silly Love Songs,Wings,1976-06-26
Love Hangover,Diana,1976-05-29
Boogie Fever,The,1976-05-08
Welcome Back,John,1976-05-01
Let Your Love Flow,Bellamy,1976-04-24
Disco Lady,Johnnie,1976-04-17
"December, 1963 (Oh, What a Night)",The,1976-03-20
Love Machine (Part 1),The,1976-02-28
Theme From S.W.A.T.,Rhythm,1976-02-21
50 Ways To Leave Your Lover,Paul,1976-02-14
Love Rollercoaster,Ohio,1976-01-24
Theme From Mahogany (Do You Know Where You're Going To),Diana,1976-01-17
I Write The Songs,Barry,1976-01-10
Convoy,C.W.,1976-01-03
Saturday Night,Bay,1975-12-27
Let's Do It Again,The,1975-12-20
That's The Way (I Like It),KC,1975-12-13
"Fly, Robin, Fly",Silver,1975-12-06
