Title,Artist,First Name,Date
The Living Years,Mike + The Mechanics,Mike,1989-03-18
Lost In Your Eyes,Debbie Gibson,Debbie,1989-03-11
Straight Up,Paula Abdul,Paula,1989-02-18
When I'm With You,Sheriff,Sheriff,1989-01-28
Two Hearts,Phil Collins,Phil,1989-01-21
My Prerogative,Bobby Brown,Bobby,1989-01-07
Every Rose Has Its Thorn,Poison,Poison,1988-12-31
Look Away,Chicago,Chicago,1988-12-10
"Baby, I Love Your Way/Freebird Medley",Will To Power,Will,1988-11-26
Bad Medicine,Bon Jovi,Bon,1988-11-19
"Wild, Wild West",The Escape Club,The,1988-11-05
"Kokomo (From""Cocktail"" )",The Beach Boys,The,1988-10-29
Groovy Kind Of Love,Phil Collins,Phil,1988-10-22
Red Red Wine,UB40,UB40,1988-10-08
Love Bites,Def Leppard,Def,1988-10-01
"Don't Worry, Be Happy (From ""Cocktail"")",Bobby McFerrin,Bobby,1988-09-24
Sweet Child O' Mine,Guns N' Roses,Guns,1988-09-10
Monkey,George Michael,George,1988-08-27
Roll With It,Steve Winwood,Steve,1988-08-13
Hold On To The Nights,Richard Marx,Richard,1988-07-16
The Flame,Cheap Trick,Cheap,1988-07-09
Dirty Diana,Michael Jackson,Michael,1988-06-25
Foolish Beat,Debbie Gibson,Debbie,1988-06-18
Together Forever,Rick Astley,Rick,1988-06-11
Anything For You,Gloria Estefan & Miami Sound Machine,Gloria,1988-05-14
Wishing Well,Terence Trent D'Arby,Terence,1988-04-30
Where Do Broken Hearts Go,Whitney Houston,Whitney,1988-04-23
"Get Outta My Dreams, Get Into My Car",Billy Ocean,Billy,1988-04-09
Man In The Mirror,Michael Jackson,Michael,1988-03-26
Never Gonna Give You Up,Rick Astley,Rick,1988-03-12
Father Figure,George Michael,George,1988-02-27
Seasons Change,Expose,Expose,1988-02-13
Could've Been,Tiffany,Tiffany,1988-02-06
Need You Tonight,INXS,INXS,1988-01-23
The Way You Make Me Feel,Michael Jackson,Michael,1988-01-16
Got My Mind Set On You,George Harrison,George,1988-01-09
So Emotional,Whitney Houston,Whitney,1988-01-02
Faith,George Michael,George,1987-12-26
Heaven Is A Place On Earth,Belinda Carlisle,Belinda,1987-11-28
(I've Had) The Time Of My Life,Bill Medley & Jennifer Warnes,Bill,1987-11-21
Mony Mony,Billy Idol,Billy,1987-11-14
I Think We're Alone Now,Tiffany,Tiffany,1987-11-07
Bad,Michael Jackson,Michael,1987-10-24
Lost In Emotion,Lisa Lisa And Cult Jam,Lisa,1987-10-10
Here I Go Again,Whitesnake,Whitesnake,1987-10-03
Didn't We Almost Have It All,Whitney Houston,Whitney,1987-09-26
I Just Can't Stop Loving You,Michael Jackson With Siedah Garrett,Michael,1987-09-12
La Bamba,Los Lobos,Los,1987-09-05
Who's That Girl,Madonna,Madonna,1987-08-15
I Still Haven't Found What I'm Looking For,U2,U2,1987-08-08
"Shakedown (From ""Beverly Hills Cop II"")",Bob Seger,Bob,1987-07-25
Alone,Heart,Heart,1987-07-18
I Wanna Dance With Somebody (Who Loves Me),Whitney Houston,Whitney,1987-06-27
Head To Toe,Lisa Lisa And Cult Jam,Lisa,1987-06-13
Always,Atlantic Starr,Atlantic,1987-06-06
You Keep Me Hangin' On,Kim Wilde,Kim,1987-05-30
With or Without You,U2,U2,1987-05-23
(I Just) Died In Your Arms,Cutting Crew,Cutting,1987-05-02
I Knew You Were Waiting (For Me),Aretha Franklin & George Michael,Aretha,1987-04-18
Nothing's Gonna Stop Us Now,Starship,Starship,1987-04-04
Lean On Me,Club Nouveau,Club,1987-03-21
